typeofcrop,geometry
Paddy,POINT (79.076277205 17.945658170000005)
Paddy,POINT (78.280840535 18.347772524999993)
Paddy,POINT (79.10612025 17.98496158333334)
Paddy IR,POINT (78.373355213 18.333237502)
Paddy IR,POINT (78.37335949250001 18.333248161)
Paddy,POINT (78.37359334850002 18.333891752999996)
Paddy IR,POINT (78.3735954615 18.333883487999998)
Paddy,POINT (78.3678065355 18.329959731500004)
Paddy IR,POINT (78.367885798 18.3300792175)
Paddy,POINT (79.13871691666665 18.165521749999993)
Paddy,POINT (78.053638575 18.37016049)
Paddy,POINT (77.80316726999999 18.369289330000004)
Paddy,POINT (77.80304749500002 18.369273735000007)
Paddy,POINT (77.79946629999999 18.37750324)
Paddy,POINT (77.79355854500002 18.38512834)
Paddy,POINT (77.79343910999998 18.385138089999998)
Paddy,POINT (77.78937051000001 18.39130308)
Paddy,POINT (77.78937905000001 18.391298295000002)
Paddy,POINT (77.79069954499997 18.400717014999994)
Paddy,POINT (77.79072459000001 18.400810354999997)
Paddy,POINT (77.78193594 18.3947623)
Paddy,POINT (77.78203334499999 18.394745175)
Paddy,POINT (77.773009395 18.397783755000003)
Paddy,POINT (77.71725967 18.40019523)
Paddy,POINT (77.71705183499998 18.400195125)
Paddy,POINT (77.74058377 18.298558025)
Paddy,POINT (77.74051963499997 18.298539025000004)
Paddy,POINT (77.80550459999999 18.250188325000003)
Paddy,POINT (77.80527793499998 18.2501805)
Paddy,POINT (77.81416244500001 18.239084225)
Paddy,POINT (77.91977376000001 18.38448931)
Paddy,POINT (77.81392216000002 18.239075405)
Paddy,POINT (77.91974385 18.38447532)
Paddy,POINT (77.814161885 18.239094245)
Paddy,POINT (77.83236759500001 18.23969467)
Paddy,POINT (77.912663505 18.41456796)
Paddy,POINT (78.001781495 18.377685259999993)
Paddy,POINT (78.00165992999999 18.377707835)
Paddy,POINT (78.00174977000002 18.386019485)
Paddy,POINT (77.99774818 18.424259435)
Paddy,POINT (78.00054105500001 18.436638345000002)
Paddy,POINT (78.00034982000001 18.436609065000003)
Paddy,POINT (77.96620305500001 18.40628675)
Paddy,POINT (77.966374335 18.406273705000004)
Paddy,POINT (77.97639696 18.397099059999995)
Paddy,POINT (77.97621454 18.397326879999994)
Paddy,POINT (78.08855937999998 18.350166525)
Paddy,POINT (78.72384533333336 18.152710083333336)
Paddy,POINT (78.70352866666667 18.1558925)
Paddy,POINT (78.68572375000004 18.16661008333333)
Paddy,POINT (78.6571074166667 18.18851608333333)
Paddy,POINT (78.6688313333333 18.05778208333333)
Paddy,POINT (78.28507326999998 18.31203613)
Paddy,POINT (78.28489803500001 18.312255044999997)
Paddy,POINT (78.28902787000001 18.300970200000005)
Paddy,POINT (78.28923275 18.30098041)
Paddy,POINT (78.12187891500001 18.330626399999996)
Paddy,POINT (78.589936445 9.4591752)
Paddy,POINT (78.0794052115 8.675456034499998)
Paddy,POINT (78.0250622545 8.6292007235)
Paddy,POINT (77.99704567200001 8.630149038)
Paddy,POINT (77.9969229485 8.637309950500002)
Paddy,POINT (77.9827960528317 8.64048047447055)
Paddy,POINT (77.96009933450001 8.644494289)
Paddy,POINT (77.990375365 8.6004284945)
Paddy,POINT (78.012587486 8.601212287)
Paddy,POINT (78.01735851299999 8.5980207095)
Paddy,POINT (78.071823479 8.546630898)
Paddy,POINT (77.98289794900002 8.4948958865)
Paddy,POINT (77.96262694449999 8.566242809)
Paddy,POINT (77.953828465 8.569760875499998)
Paddy,POINT (77.955642829 8.5777880485)
Paddy,POINT (77.9009010665 8.618965076499999)
Paddy,POINT (77.874812074 8.632195894999999)
Paddy,POINT (77.8219083045 8.7140080305)
Paddy,POINT (77.821927002 8.714004365000001)
Paddy,POINT (77.8072488655 8.760967524)
Paddy,POINT (77.961148621 9.044092951)
Paddy,POINT (78.11862599500003 18.33063334)
Paddy,POINT (78.12623646499999 18.363005155)
Pady,POINT (79.144372 18.152511500000003)
Paddy,POINT (79.18690208333336 18.127599666666672)
Paddy,POINT (79.1801235 18.128635249999995)
Paddy,POINT (79.15930216666665 18.118138249999994)
Paddy,POINT (79.13984525000002 18.13038983333333)
Paddy,POINT (79.13729066666667 18.151306416666674)
Paddy,POINT (79.12467258333335 18.16355633333334)
Paddy,POINT (79.17011316666664 18.141001333333335)
Pady,POINT (79.19344141666662 18.143152583333325)
