geometry,typeofcrop
POINT (76.04270590249999 27.8938326905),Mustard
POINT (76.408111225 28.453475450000006),Mustard
POINT (76.408095885 28.453051539999997),Mustard
POINT (76.40744333999997 28.453037255000005),Mustard
POINT (76.40742854499999 28.4535058),Mustard
POINT (76.40125373000001 28.449032869999996),Mustard
POINT (76.40060257 28.44907569999999),Mustard
POINT (76.399960505 28.449262584999996),Mustard
POINT (76.400652425 28.449785410000004),Mustard
POINT (76.40124880499998 28.449737950000006),Mustard
POINT (76.39653470000002 28.424824100000002),Mustard
POINT (76.39676884000002 28.425196319999998),Mustard
POINT (76.3967825 28.424942420000008),Mustard
POINT (76.39341300000002 28.4172392),Mustard
POINT (76.39405962499998 28.417238794999992),Mustard
POINT (76.394052765 28.417514405000002),Mustard
POINT (76.39340857000002 28.417487369999996),Mustard
POINT (76.55439458500001 28.156805354999996),Mustard
POINT (76.518782845 28.37187715),Mustard
POINT (76.51881264499998 28.371042500000005),Mustard
POINT (76.51809876000002 28.371521125000005),Mustard
POINT (76.52974130499999 28.362806919999997),Mustard
POINT (76.52967415999997 28.361795584999992),Mustard
POINT (76.53041118999998 28.362543629999987),Mustard
POINT (76.53476242000002 28.3684779),Mustard
POINT (76.534833885 28.368997294999996),Mustard
POINT (75.99379204799999 27.969101266999996),Mustard
POINT (76.0187035095 28.024535106499997),Mustard
POINT (76.030697868 28.028693253500002),Mustard
POINT (76.62110016000001 28.402505329999997),Mustard
POINT (76.09365926650001 27.990602610000003),Mustard
POINT (76.576315905 28.316238425),Mustard
POINT (76.57626392499999 28.315259755),Mustard
POINT (76.57617439 28.31528614999999),Mustard
POINT (76.57551207999998 28.315287609999995),Mustard
POINT (76.57553071999999 28.315788439999995),Mustard
POINT (76.576214875 28.315796319999997),Mustard
POINT (76.57278612 28.309141005000008),Mustard
POINT (76.57338251000002 28.30867857),Mustard
POINT (76.59792562499999 28.296440629999996),Mustard
