geometry,typeofcrop
POINT (72.43903438000002 23.878062420000013),Wheat
POINT (72.439876065 23.862025664999997),Wheat
POINT (72.45065383 23.833542195),Wheat
POINT (72.46605054 23.821990630000002),Wheat
POINT (72.48026912499999 23.813340555000003),Wheat
POINT (72.49909361000002 23.78945242499999),Wheat
POINT (72.50987095999999 23.760900810000003),Wheat
POINT (72.52481222 23.678820785),Wheat
POINT (72.49984218 23.661487619999996),Wheat
POINT (72.47051948000001 23.647269455000004),Wheat
POINT (71.54983858333331 22.879504666666662),wheat
POINT (71.54994441666668 22.87947258333333),wheat
POINT (71.55016116666664 22.879410166666666),wheat
POINT (70.45255078500001 20.881401975000003),Wheat
POINT (72.81427254499998 23.411083595),wheat
POINT (73.015822845 23.943798190000003),Wheat
POINT (70.522851795 20.836930540000004),Wheat
POINT (72.99651273000002 23.94564048),Wheat
POINT (72.98062418500001 23.94763786),Wheat
POINT (72.93696902500001 23.961264730000003),Wheat
POINT (73.030169435 24.052667615),Wheat
POINT (73.009898785 24.070242535000006),Wheat
POINT (73.01087210499999 24.07729473),Wheat
POINT (73.05103754 24.0366377),Wheat
POINT (70.5311248 20.836721165000004),Wheat
POINT (71.1113314625 22.4156356135),WHEAT
POINT (71.15897178999998 22.41803129),Wheat
POINT (72.37685013 23.574546605000002),Wheat
POINT (72.37687027500003 23.574534464999992),Wheat
POINT (71.15899312149999 22.418043647),WHEAT
POINT (71.2488626885 22.453298176500006),WHEAT
POINT (71.2872160995 22.492500553499998),Wheat
POINT (73.34209291999997 23.43925359),Wheat
POINT (71.27873342949998 22.5180628145),Wheat
POINT (73.33324277 23.44639779),Wheat
POINT (71.2956610235 22.543213868000002),Wheat
POINT (71.22391834249999 22.572893793),Wheat
POINT (73.484354145 23.492554055000006),Wheat
POINT (71.2259404075 22.538782843999996),Wheat
POINT (73.48471376 23.492515519999994),Wheat
POINT (71.21522930649999 22.4811557935),Wheat
POINT (72.97405639000002 23.706236125000004),Wheat
POINT (72.98622523499998 23.759278209999998),Wheat
POINT (72.99086958000001 23.788775259999998),Wheat
POINT (72.68310473000004 23.318361160000013),WHEAT
POINT (72.68511213 23.338477899999994),WHEAT
POINT (73.20433845000004 22.795209585000002),Wheat
POINT (72.02951080500002 23.036014110000007),WHEAT
POINT (72.68704373000001 23.355579395000003),WHEAT
POINT (72.03170550000002 23.03649049500001),WHEAT
POINT (72.69682087000004 23.38256460000001),WHEAT
POINT (73.01482545000002 23.99595163),Wheat
POINT (72.7005869 23.39296583499999),WHEAT
POINT (72.98054280999997 23.615835990000008),Wheat
POINT (72.98206566000002 23.61743934),Wheat
POINT (72.69895849000002 23.389453964999994),WHEAT
POINT (72.982078285 23.617444505000005),Wheat
POINT (72.03575194999998 23.74585614),WHEAT
POINT (72.70788670499999 23.41460245999999),WHEAT
POINT (73.014041735 23.639292090000016),Wheat
POINT (72.71599290999998 23.434039950000003),WHEAT
POINT (73.01864637650002 22.3169840145),Wheat
POINT (72.72228150999999 23.463984165000003),WHEAT
POINT (72.95959601999999 22.495502019999996),Wheat
POINT (72.73585641999998 23.499153669999995),WHEAT
POINT (72.97581573 22.476007109999994),Wheat
POINT (73.01203180499999 22.463857535000006),Wheat
POINT (72.77480244499998 23.493769924999995),WHEAT
POINT (73.18413594 22.774573805000006),Wheat
POINT (72.00291160500001 23.777095184999997),WHEAT
POINT (72.70472407500002 22.719220200000002),Wheat
POINT (72.74769934999998 23.519807145),WHEAT
POINT (71.95969251999998 23.753961340000004),WHEAT
POINT (73.01568052 22.494173705),Wheat
POINT (72.72225467499999 23.464918880000003),WHEAT
POINT (73.015690875 22.49431482),Wheat
POINT (72.65445152999999 22.740201914999993),Wheat
POINT (72.74505593 22.436789089999998),WHEAT
POINT (71.90543679999999 23.804603314999998),WHEAT
POINT (73.081335979 23.233263292500002),Wheat
POINT (72.97055401499998 23.55818367),Wheat
POINT (73.01137500499998 24.004533114999997),Wheat
POINT (73.08154074500001 23.2227482205),Wheat
POINT (70.273384845 21.146763505000003),WHEAT
POINT (72.97687393499999 23.55748104500001),Wheat
POINT (72.71556694000002 22.455327320000002),WHEAT
POINT (73.01658173 24.027954084999994),Wheat
POINT (70.298758255 21.162919629999998),WHEAT
POINT (72.70178637999999 23.458430259999993),WHEAT
POINT (72.74173396500001 22.469635955000005),WHEAT
POINT (72.77724722500002 22.470779985),WHEAT
POINT (72.66672241 23.461012089999993),WHEAT
POINT (72.66399148500001 23.46129931000001),WHEAT
POINT (72.65736471 23.460519395),WHEAT
POINT (72.70651325499998 22.723060740000005),Wheat
POINT (72.646211905 23.460110314999998),WHEAT
POINT (72.63693556999999 23.460425395000005),WHEAT
POINT (72.40273346000001 22.887520310000006),WHEAT
POINT (72.742065285 22.716568445),Wheat
POINT (72.62361052000003 23.456111509999996),WHEAT
POINT (72.89272454949997 22.3042678245),Wheat
POINT (71.89665169999998 23.833480035000004),WHEAT
POINT (72.61294918 23.44788361),WHEAT
POINT (72.353333245 22.90182499),WHEAT
POINT (72.60964882999998 23.433174205000004),WHEAT
POINT (72.34631220500003 22.86664115999999),WHEAT
POINT (72.30672312500002 22.878261180000003),WHEAT
POINT (72.28474799500002 22.885701084999987),WHEAT
POINT (72.22857574500001 22.959400754999997),WHEAT
POINT (72.21330065500003 22.975464025),WHEAT
POINT (73.29717553000003 23.533034299999994),Wheat
POINT (72.33948424 24.207423799999997),WHEAT
POINT (72.268277885 24.23089955),WHEAT
POINT (70.38265993499999 21.491140284999993),Wheat
POINT (72.16680186 24.202288669999998),WHEAT
POINT (72.17055701999999 24.187085330000002),WHEAT
POINT (72.17527883 24.15093305),WHEAT
POINT (70.30981214999998 21.494811764999998),Wheat
POINT (72.13027157999998 24.10060567),WHEAT
POINT (72.10433815500002 24.091960959999998),WHEAT
POINT (72.03421246 24.047295905),WHEAT
POINT (71.95952251000001 24.044613324999997),WHEAT
POINT (72.29815839499999 23.807194829999993),WHEAT
POINT (72.22221897 23.829518065000002),WHEAT
POINT (72.78954836 22.841160605),WHEAT
POINT (72.14835974499998 23.243703610000004),Wheat
POINT (71.91234848499998 24.03038864),WHEAT
POINT (72.80252409500001 22.856936459999996),WHEAT
POINT (72.16765045 23.84557523),WHEAT
POINT (71.868444825 24.011267919999998),WHEAT
POINT (72.34923769 22.81509082),Wheat
POINT (71.863957855 24.004042825),WHEAT
POINT (72.34435277 22.806947855000004),Wheat
POINT (72.33479490999999 22.790799029999995),Wheat
POINT (71.93370848 24.038978004999997),WHEAT
POINT (70.250406835 21.497230374999994),Wheat
POINT (72.308465465 22.784917685000007),What
POINT (72.27263503999998 22.789012044999996),Wheat
POINT (70.17366853000001 21.499913755),Wheat
POINT (71.99977007 24.181368084999995),WHEAT
POINT (70.294759525 21.248910265),Wheat
POINT (73.37407946999998 23.954727815000002),WHEAT
POINT (72.12343570499999 24.255454075),WHEAT
POINT (70.12944188000002 21.149131729999993),Wheat
POINT (73.34096056999998 23.9269371),WHEAT
POINT (73.33915472999999 23.920625320000003),WHEAT
POINT (73.33238893000001 23.912013885000004),WHEAT
POINT (72.30988029000001 22.668293914999996),Wheat
POINT (72.305322285 22.65080797),Wheat
POINT (73.31507625500001 23.862998854999994),Wheat
